to,from,p_value
OTU_1,OTU_1,0
OTU_2,OTU_1,0.99
OTU_3,OTU_1,0.99
OTU_4,OTU_1,0.99
OTU_5,OTU_1,0
OTU_6,OTU_1,0.99
OTU_7,OTU_1,0.99
OTU_8,OTU_1,0.99
OTU_9,OTU_1,0.99
OTU_10,OTU_1,0.99
OTU_11,OTU_1,0.99
OTU_12,OTU_1,0.99
OTU_13,OTU_1,0.99
OTU_14,OTU_1,0.99
OTU_15,OTU_1,0.99
OTU_16,OTU_1,0.99
OTU_17,OTU_1,0.99
OTU_18,OTU_1,0.99
OTU_19,OTU_1,0.99
OTU_20,OTU_1,0.99
OTU_21,OTU_1,0.99
OTU_22,OTU_1,0.99
OTU_23,OTU_1,0.99
OTU_24,OTU_1,0.99
OTU_25,OTU_1,0.99
OTU_26,OTU_1,0.99
OTU_27,OTU_1,0.99
OTU_28,OTU_1,0.99
OTU_29,OTU_1,0.99
OTU_30,OTU_1,0.99
OTU_31,OTU_1,0.99
OTU_32,OTU_1,0.99
OTU_33,OTU_1,0.99
OTU_34,OTU_1,0.6260650169820475
OTU_35,OTU_1,0.99
OTU_36,OTU_1,0.99
OTU_37,OTU_1,0.99
OTU_38,OTU_1,0.99
OTU_39,OTU_1,0.99
OTU_40,OTU_1,0.99
OTU_41,OTU_1,0.99
OTU_42,OTU_1,0.99
OTU_43,OTU_1,0.99
OTU_44,OTU_1,0
OTU_45,OTU_1,0.99
OTU_46,OTU_1,0
OTU_47,OTU_1,0.99
OTU_48,OTU_1,0.99
OTU_49,OTU_1,0.99
OTU_50,OTU_1,0.99
OTU_51,OTU_1,0.99
OTU_52,OTU_1,0.99
OTU_53,OTU_1,0.99
OTU_54,OTU_1,0.99
OTU_55,OTU_1,0.99
OTU_56,OTU_1,0.99
OTU_57,OTU_1,0.99
OTU_58,OTU_1,0.99
OTU_59,OTU_1,0.99
OTU_60,OTU_1,0.7275146594497068
OTU_61,OTU_1,0.99
OTU_62,OTU_1,0.99
OTU_63,OTU_1,0.99
OTU_64,OTU_1,0.99
OTU_65,OTU_1,0.9803110475509476
OTU_66,OTU_1,0.99
OTU_67,OTU_1,0.99
OTU_68,OTU_1,0.99
OTU_69,OTU_1,0.99
OTU_70,OTU_1,0.99
OTU_71,OTU_1,0.99
OTU_72,OTU_1,0.99
OTU_73,OTU_1,0.99
OTU_74,OTU_1,0.99
OTU_75,OTU_1,0.99
OTU_76,OTU_1,0
OTU_77,OTU_1,0.99
OTU_78,OTU_1,0.99
OTU_79,OTU_1,0.99
OTU_80,OTU_1,0.99
OTU_81,OTU_1,0.99
OTU_82,OTU_1,0.91468809073724
OTU_83,OTU_1,0.99
OTU_84,OTU_1,0.5205701990317374
OTU_85,OTU_1,0.99
OTU_86,OTU_1,0.99
